gta06_hhld,age,population,income
5091,78,75,2
5092,23,42,2
5092,50,42,2
5092,55,44,2
5092,64,48,2
5092,65,42,2
5092,70,102,2
5092,71,22,2
5092,72,24,2
5092,77,41,2
5092,85,16,2
5092,88,24,2
5092,94,16,2
5093,7,57,2
5093,12,12,2
5093,26,57,2
5093,46,12,2
5093,56,21,2
5093,67,60,2
5093,72,28,2
5093,81,24,2
5093,87,10,2
5094,48,53,2
5094,69,54,2
5094,72,54,2
5094,73,18,2
5094,75,53,2
5094,80,15,2
5094,83,15,2
5094,88,12,2
5094,93,12,2
5094,98,15,2
5095,4,109,2
5095,7,109,2
5095,10,109,2
5095,14,33,2
5095,19,33,2
5095,28,30,2
5095,33,43,2
5095,39,109,2
5095,41,33,2
5095,43,109,2
5095,49,33,2
5095,56,23,2
5095,59,43,2
5095,60,28,2
5095,67,16,2
5095,68,35,2
5095,70,20,2
5095,73,26,2
5095,75,20,2
5095,76,47,2
5095,77,40,2
5095,78,75,2
5095,79,20,2
5095,84,48,2
5095,85,18,2
5096,42,24,2
5096,54,45,2
5096,62,26,2
5096,67,68,2
5096,68,24,2
5096,71,20,2
5096,76,23,2
5096,86,20,2
5096,87,26,2
5096,91,20,2
5096,92,19,2
5097,35,61,2
5097,55,63,2
5097,64,44,2
5098,14,58,2
5098,18,58,2
5098,20,58,2
5098,40,58,2
5098,72,68,2
5098,79,27,2
5098,86,26,2
5099,45,54,2
5099,48,54,2
5099,50,37,2
5099,63,51,2
5099,69,93,2
5099,71,63,2
5099,73,96,2
5099,74,49,2
5099,75,10,2
5099,77,44,2
5099,79,92,2
5099,82,62,2
5099,83,17,2
5099,84,25,2
5099,86,17,2
5099,87,10,2
5099,89,25,2
5099,99,198,2
5100,61,20,2
5100,65,20,2
5100,72,14,2
5100,77,14,2
5101,53,29,2
5101,75,29,2
5101,78,46,2
5101,89,25,2
5102,26,38,2
5102,37,27,2
5102,43,50,2
5102,45,23,2
5102,56,38,2
5102,59,53,2
5102,61,26,2
5102,63,26,2
5102,64,25,2
5102,67,27,2
5102,70,16,2
5102,71,16,2
5102,74,24,2
5102,75,24,2
5102,84,50,2
5104,3,25,2
5104,7,25,2
5104,9,25,2
5104,15,61,2
5104,24,80,2
5104,26,67,2
5104,41,61,2
5104,45,13,2
5104,46,25,2
5104,62,23,2
5104,63,40,2
5104,65,24,2
5104,66,33,2
5104,67,27,2
5104,68,37,2
5104,69,13,2
5104,72,42,2
5104,73,49,2
5104,74,27,2
5104,75,68,2
5104,81,18,2
5104,82,104,2
5104,86,24,2
5104,87,24,2
5105,16,47,2
5105,44,47,2
5105,56,21,2
5105,67,14,2
5105,82,14,2
5106,20,65,2
5106,32,14,2
5106,47,65,2
5106,61,37,2
5106,65,16,2
5106,67,31,2
5106,71,33,2
5106,75,10,2
5106,78,21,2
5106,79,26,2
5106,80,10,2
5106,82,10,2
5106,83,10,2
5106,84,14,2
5106,85,10,2
5106,86,14,2
5106,87,16,2
5107,58,20,2
5107,60,20,2
5107,66,16,2
5107,70,47,2
5107,76,27,2
5107,86,37,2
5109,52,45,2
5109,85,15,2
5109,88,15,2
5110,11,32,2
5110,42,16,2
5110,61,20,2
5110,62,20,2
5110,63,24,2
5110,68,24,2
5110,69,23,2
5110,74,23,2
5110,75,21,2
5110,80,42,2
5110,82,41,2
5110,84,21,2
5110,88,21,2
5110,90,21,2
5110,91,21,2
5110,92,50,2
5111,21,64,2
5111,25,64,2
5111,43,42,2
5111,50,31,2
5111,56,25,2
5111,58,15,2
5111,59,25,2
5111,60,25,2
5111,64,25,2
5111,66,15,2
5111,68,31,2
5111,70,22,2
5111,71,15,2
5111,72,31,2
5111,73,32,2
5111,74,17,2
5111,75,26,2
5111,78,26,2
5111,79,22,2
5111,92,15,2
5113,17,36,2
5113,52,36,2
5113,57,36,2
